x,y,main_id,RA,Dec,V,B-V,B
602.0923321661826,113.71429686031446,SA 38-298,282.6295874999999,45.16028611111111,15.221,0.594,15.815
160.98770098874058,116.8761508080658,SA 38-312,282.7103791666666,45.16011666666667,12.171,1.29,13.460999999999999
484.0956393976573,179.40170984106356,SA 38-304,282.6512208333333,45.15189722222222,14.514,0.595,15.109
197.2990851321155,230.3488005356142,SA 38-310,282.70363749999996,45.14541666666667,10.489,1.259,11.748000000000001
696.0551478824509,330.4817951574314,SA 38-297,282.6125458333333,45.132194444444444,14.395,0.61,15.004999999999999
279.6219501144905,362.4380433441811,SA 38-309,282.68871249999995,45.12838611111111,12.798,0.682,13.48
531.7140645922755,394.4136837242439,SA 38-303,282.64258749999993,45.12402222222222,15.062,0.618,15.68
361.4393342313576,502.628089961908,SA 38-149,282.6738708333333,45.110283333333335,15.186,0.639,15.825
252.38623418801055,557.9664930208786,SA 38-157,282.6938291666666,45.10319722222222,15.213,1.036,16.249
759.5527486160868,558.7464188307376,SA 38-137,282.6011041666666,45.10263055555556,13.517,0.736,14.253
730.821925142741,566.3038832586171,SA 38-138,282.60639166666664,45.10177222222222,14.319,0.714,15.033000000000001
260.8868080088366,597.5943944101292,SA 38-156,282.692325,45.09804722222223,15.358,0.579,15.937000000000001
